episode_return,episode_length,score,epsilon,episode
6.0,6.0,0.0,0.1998,1
11.0,11.0,0.0,0.1996002,2
6.0,6.0,0.0,0.1994005998,3
6.0,6.0,0.0,0.1992011992002,4
10.0,10.0,0.0,0.1990019980009998,5
13.0,13.0,0.0,0.1988029960029988,6
13.0,13.0,0.0,0.1986041930069958,7
9.0,9.0,0.0,0.19840558881398881,8
13.0,13.0,0.0,0.19820718322517483,9
12.0,12.0,0.0,0.19800897604194967,10
6.0,6.0,0.0,0.19781096706590773,11
7.0,7.0,0.0,0.1976131560988418,12
13.0,13.0,0.0,0.19741554294274297,13
7.0,7.0,0.0,0.1972181273998002,14
12.0,12.0,0.0,0.1970209092724004,15
9.0,9.0,0.0,0.196823888363128,16
4.0,4.0,0.0,0.19662706447476488,17
20.0,20.0,1.0,0.19643043741029012,18
10.0,10.0,0.0,0.19623400697287982,19
4.0,4.0,0.0,0.19603777296590694,20
11.0,11.0,0.0,0.19584173519294104,21
13.0,13.0,0.0,0.1956458934577481,22
5.0,5.0,0.0,0.19545024756429036,23
23.0,23.0,1.0,0.19525479731672607,24
8.0,8.0,0.0,0.19505954251940935,25
4.0,4.0,0.0,0.19486448297688994,26
13.0,13.0,0.0,0.19466961849391304,27
10.0,10.0,0.0,0.19447494887541913,28
14.0,14.0,0.0,0.1942804739265437,29
23.0,23.0,1.0,0.19408619345261716,30
13.0,13.0,0.0,0.19389210725916453,31
12.0,12.0,0.0,0.19369821515190536,32
10.0,10.0,0.0,0.19350451693675344,33
9.0,9.0,0.0,0.19331101241981669,34
24.0,24.0,1.0,0.19311770140739687,35
16.0,16.0,1.0,0.19292458370598947,36
21.0,21.0,1.0,0.1927316591222835,37
29.0,29.0,2.0,0.1925389274631612,38
11.0,11.0,0.0,0.19234638853569805,39
20.0,20.0,1.0,0.19215404214716236,40
30.0,30.0,2.0,0.1919618881050152,41
11.0,11.0,0.0,0.19176992621691016,42
13.0,13.0,0.0,0.19157815629069325,43
13.0,13.0,0.0,0.19138657813440255,44
13.0,13.0,0.0,0.19119519155626816,45
13.0,13.0,0.0,0.19100399636471188,46
8.0,8.0,0.0,0.19081299236834717,47
10.0,10.0,0.0,0.19062217937597883,48
40.0,40.0,3.0,0.19043155719660285,49
24.0,24.0,1.0,0.19024112563940623,50
43.0,43.0,3.0,0.19005088451376684,51
16.0,16.0,1.0,0.18986083362925307,52
22.0,22.0,1.0,0.1896709727956238,53
13.0,13.0,0.0,0.18948130182282819,54
13.0,13.0,0.0,0.18929182052100535,55
13.0,13.0,0.0,0.18910252870048436,56
9.0,9.0,0.0,0.18891342617178386,57
13.0,13.0,0.0,0.18872451274561208,58
33.0,33.0,2.0,0.18853578823286646,59
15.0,15.0,1.0,0.1883472524446336,60
13.0,13.0,0.0,0.18815890519218897,61
13.0,13.0,0.0,0.18797074628699678,62
14.0,14.0,0.0,0.1877827755407098,63
23.0,23.0,1.0,0.18759499276516908,64
13.0,13.0,0.0,0.18740739777240392,65
14.0,14.0,0.0,0.18721999037463152,66
4.0,4.0,0.0,0.1870327703842569,67
30.0,30.0,2.0,0.18684573761387263,68
16.0,16.0,1.0,0.18665889187625875,69
21.0,21.0,1.0,0.1864722329843825,70
13.0,13.0,0.0,0.18628576075139813,71
13.0,13.0,0.0,0.18609947499064675,72
13.0,13.0,0.0,0.1859133755156561,73
13.0,13.0,0.0,0.18572746214014044,74
23.0,23.0,1.0,0.1855417346780003,75
13.0,13.0,0.0,0.1853561929433223,76
12.0,12.0,0.0,0.185170836750379,77
13.0,13.0,0.0,0.1849856659136286,78
23.0,23.0,1.0,0.18480068024771498,79
23.0,23.0,1.0,0.18461587956746728,80
15.0,15.0,1.0,0.1844312636878998,81
13.0,13.0,0.0,0.18424683242421191,82
10.0,10.0,0.0,0.1840625855917877,83
23.0,23.0,1.0,0.18387852300619592,84
23.0,23.0,1.0,0.18369464448318973,85
13.0,13.0,0.0,0.18351094983870653,86
14.0,14.0,0.0,0.18332743888886782,87
