episode_return,episode_length,score,epsilon,episode
7.0,7.0,0.0,0.0999,1
13.0,13.0,0.0,0.0998001,2
13.0,13.0,0.0,0.0997002999,3
5.0,5.0,0.0,0.0996005996001,4
9.0,9.0,0.0,0.0995009990004999,5
12.0,12.0,0.0,0.0994014980014994,6
11.0,11.0,0.0,0.0993020965034979,7
8.0,8.0,0.0,0.09920279440699441,8
4.0,4.0,0.0,0.09910359161258742,9
12.0,12.0,0.0,0.09900448802097483,10
13.0,13.0,0.0,0.09890548353295386,11
8.0,8.0,0.0,0.0988065780494209,12
13.0,13.0,0.0,0.09870777147137148,13
9.0,9.0,0.0,0.0986090636999001,14
4.0,4.0,0.0,0.0985104546362002,15
18.0,18.0,1.0,0.098411944181564,16
13.0,13.0,0.0,0.09831353223738244,17
4.0,4.0,0.0,0.09821521870514506,18
13.0,13.0,0.0,0.09811700348643991,19
10.0,10.0,0.0,0.09801888648295347,20
7.0,7.0,0.0,0.09792086759647052,21
13.0,13.0,0.0,0.09782294672887405,22
13.0,13.0,0.0,0.09772512378214518,23
9.0,9.0,0.0,0.09762739865836303,24
13.0,13.0,0.0,0.09752977125970468,25
7.0,7.0,0.0,0.09743224148844497,26
13.0,13.0,0.0,0.09733480924695652,27
13.0,13.0,0.0,0.09723747443770957,28
6.0,6.0,0.0,0.09714023696327186,29
13.0,13.0,0.0,0.09704309672630858,30
13.0,13.0,0.0,0.09694605362958227,31
4.0,4.0,0.0,0.09684910757595268,32
8.0,8.0,0.0,0.09675225846837672,33
13.0,13.0,0.0,0.09665550620990834,34
4.0,4.0,0.0,0.09655885070369843,35
8.0,8.0,0.0,0.09646229185299474,36
8.0,8.0,0.0,0.09636582956114174,37
13.0,13.0,0.0,0.0962694637315806,38
4.0,4.0,0.0,0.09617319426784902,39
7.0,7.0,0.0,0.09607702107358118,40
4.0,4.0,0.0,0.0959809440525076,41
13.0,13.0,0.0,0.09588496310845508,42
13.0,13.0,0.0,0.09578907814534662,43
4.0,4.0,0.0,0.09569328906720127,44
4.0,4.0,0.0,0.09559759577813408,45
8.0,8.0,0.0,0.09550199818235594,46
4.0,4.0,0.0,0.09540649618417359,47
13.0,13.0,0.0,0.09531108968798942,48
10.0,10.0,0.0,0.09521577859830142,49
13.0,13.0,0.0,0.09512056281970312,50
9.0,9.0,0.0,0.09502544225688342,51
8.0,8.0,0.0,0.09493041681462654,52
7.0,7.0,0.0,0.0948354863978119,53
13.0,13.0,0.0,0.09474065091141409,54
8.0,8.0,0.0,0.09464591026050267,55
13.0,13.0,0.0,0.09455126435024218,56
8.0,8.0,0.0,0.09445671308589193,57
8.0,8.0,0.0,0.09436225637280604,58
7.0,7.0,0.0,0.09426789411643323,59
13.0,13.0,0.0,0.0941736262223168,60
7.0,7.0,0.0,0.09407945259609449,61
13.0,13.0,0.0,0.09398537314349839,62
7.0,7.0,0.0,0.0938913877703549,63
8.0,8.0,0.0,0.09379749638258454,64
13.0,13.0,0.0,0.09370369888620196,65
7.0,7.0,0.0,0.09360999518731576,66
8.0,8.0,0.0,0.09351638519212845,67
13.0,13.0,0.0,0.09342286880693632,68
9.0,9.0,0.0,0.09332944593812938,69
8.0,8.0,0.0,0.09323611649219125,70
8.0,8.0,0.0,0.09314288037569907,71
8.0,8.0,0.0,0.09304973749532337,72
9.0,9.0,0.0,0.09295668775782805,73
13.0,13.0,0.0,0.09286373107007022,74
13.0,13.0,0.0,0.09277086733900015,75
12.0,12.0,0.0,0.09267809647166116,76
8.0,8.0,0.0,0.0925854183751895,77
13.0,13.0,0.0,0.0924928329568143,78
12.0,12.0,0.0,0.09240034012385749,79
9.0,9.0,0.0,0.09230793978373364,80
7.0,7.0,0.0,0.0922156318439499,81
12.0,12.0,0.0,0.09212341621210596,82
12.0,12.0,0.0,0.09203129279589385,83
12.0,12.0,0.0,0.09193926150309796,84
7.0,7.0,0.0,0.09184732224159486,85
13.0,13.0,0.0,0.09175547491935326,86
13.0,13.0,0.0,0.09166371944443391,87
4.0,4.0,0.0,0.09157205572498947,88
4.0,4.0,0.0,0.09148048366926448,89
9.0,9.0,0.0,0.09138900318559522,90
13.0,13.0,0.0,0.09129761418240961,91
4.0,4.0,0.0,0.09120631656822721,92
13.0,13.0,0.0,0.09111511025165898,93
10.0,10.0,0.0,0.09102399514140733,94
13.0,13.0,0.0,0.09093297114626592,95
12.0,12.0,0.0,0.09084203817511965,96
22.0,22.0,1.0,0.09075119613694453,97
11.0,11.0,0.0,0.09066044494080759,98
21.0,21.0,1.0,0.09056978449586678,99
13.0,13.0,0.0,0.09047921471137091,100
7.0,7.0,0.0,0.09038873549665954,101
13.0,13.0,0.0,0.09029834676116288,102
13.0,13.0,0.0,0.09020804841440172,103
8.0,8.0,0.0,0.09011784036598731,104
13.0,13.0,0.0,0.09002772252562133,105
8.0,8.0,0.0,0.08993769480309571,106
13.0,13.0,0.0,0.08984775710829261,107
13.0,13.0,0.0,0.08975790935118431,108
7.0,7.0,0.0,0.08966815144183313,109
13.0,13.0,0.0,0.0895784832903913,110
4.0,4.0,0.0,0.08948890480710091,111
12.0,12.0,0.0,0.0893994159022938,112
13.0,13.0,0.0,0.08931001648639152,113
13.0,13.0,0.0,0.08922070646990513,114
13.0,13.0,0.0,0.08913148576343521,115
9.0,9.0,0.0,0.08904235427767178,116
7.0,7.0,0.0,0.0889533119233941,117
9.0,9.0,0.0,0.08886435861147071,118
12.0,12.0,0.0,0.08877549425285924,119
18.0,18.0,1.0,0.08868671875860638,120
13.0,13.0,0.0,0.08859803203984777,121
20.0,20.0,1.0,0.08850943400780792,122
21.0,21.0,1.0,0.08842092457380012,123
12.0,12.0,0.0,0.08833250364922632,124
4.0,4.0,0.0,0.08824417114557709,125
8.0,8.0,0.0,0.08815592697443152,126
7.0,7.0,0.0,0.08806777104745708,127
13.0,13.0,0.0,0.08797970327640962,128
13.0,13.0,0.0,0.08789172357313321,129
13.0,13.0,0.0,0.08780383184956007,130
24.0,24.0,1.0,0.08771602801771052,131
13.0,13.0,0.0,0.0876283119896928,132
9.0,9.0,0.0,0.08754068367770311,133
13.0,13.0,0.0,0.0874531429940254,134
5.0,5.0,0.0,0.08736568985103138,135
7.0,7.0,0.0,0.08727832416118035,136
13.0,13.0,0.0,0.08719104583701917,137
12.0,12.0,0.0,0.08710385479118216,138
20.0,20.0,1.0,0.08701675093639097,139
13.0,13.0,0.0,0.08692973418545458,140
13.0,13.0,0.0,0.08684280445126913,141
13.0,13.0,0.0,0.08675596164681786,142
13.0,13.0,0.0,0.08666920568517104,143
10.0,10.0,0.0,0.08658253647948587,144
13.0,13.0,0.0,0.08649595394300638,145
13.0,13.0,0.0,0.08640945798906338,146
13.0,13.0,0.0,0.08632304853107432,147
11.0,11.0,0.0,0.08623672548254324,148
13.0,13.0,0.0,0.0861504887570607,149
7.0,7.0,0.0,0.08606433826830365,150
13.0,13.0,0.0,0.08597827393003535,151
4.0,4.0,0.0,0.08589229565610532,152
13.0,13.0,0.0,0.08580640336044922,153
4.0,4.0,0.0,0.08572059695708877,154
13.0,13.0,0.0,0.08563487636013167,155
7.0,7.0,0.0,0.08554924148377153,156
4.0,4.0,0.0,0.08546369224228777,157
13.0,13.0,0.0,0.08537822855004548,158
13.0,13.0,0.0,0.08529285032149543,159
8.0,8.0,0.0,0.08520755747117394,160
7.0,7.0,0.0,0.08512234991370277,161
9.0,9.0,0.0,0.08503722756378906,162
13.0,13.0,0.0,0.08495219033622528,163
9.0,9.0,0.0,0.08486723814588905,164
16.0,16.0,1.0,0.08478237090774315,165
13.0,13.0,0.0,0.08469758853683541,166
18.0,18.0,1.0,0.08461289094829857,167
13.0,13.0,0.0,0.08452827805735028,168
7.0,7.0,0.0,0.08444374977929292,169
20.0,20.0,1.0,0.08435930602951362,170
12.0,12.0,0.0,0.08427494672348411,171
9.0,9.0,0.0,0.08419067177676062,172
12.0,12.0,0.0,0.08410648110498387,173
43.0,43.0,3.0,0.08402237462387888,174
13.0,13.0,0.0,0.083938352249255,175
8.0,8.0,0.0,0.08385441389700575,176
8.0,8.0,0.0,0.08377055948310874,177
10.0,10.0,0.0,0.08368678892362563,178
7.0,7.0,0.0,0.08360310213470201,179
13.0,13.0,0.0,0.08351949903256731,180
8.0,8.0,0.0,0.08343597953353474,181
13.0,13.0,0.0,0.08335254355400121,182
6.0,6.0,0.0,0.0832691910104472,183
18.0,18.0,1.0,0.08318592181943676,184
9.0,9.0,0.0,0.08310273589761732,185
9.0,9.0,0.0,0.0830196331617197,186
18.0,18.0,1.0,0.08293661352855798,187
8.0,8.0,0.0,0.08285367691502943,188
13.0,13.0,0.0,0.0827708232381144,189
13.0,13.0,0.0,0.08268805241487628,190
13.0,13.0,0.0,0.08260536436246141,191
7.0,7.0,0.0,0.08252275899809895,192
13.0,13.0,0.0,0.08244023623910085,193
23.0,23.0,1.0,0.08235779600286175,194
4.0,4.0,0.0,0.08227543820685888,195
10.0,10.0,0.0,0.08219316276865203,196
13.0,13.0,0.0,0.08211096960588338,197
8.0,8.0,0.0,0.0820288586362775,198
13.0,13.0,0.0,0.08194682977764123,199
15.0,15.0,1.0,0.0818648829478636,200
13.0,13.0,0.0,0.08178301806491572,201
13.0,13.0,0.0,0.08170123504685081,202
4.0,4.0,0.0,0.08161953381180397,203
4.0,4.0,0.0,0.08153791427799216,204
13.0,13.0,0.0,0.08145637636371417,205
23.0,23.0,1.0,0.08137491998735046,206
9.0,9.0,0.0,0.08129354506736311,207
13.0,13.0,0.0,0.08121225152229575,208
7.0,7.0,0.0,0.08113103927077345,209
12.0,12.0,0.0,0.08104990823150267,210
12.0,12.0,0.0,0.08096885832327116,211
7.0,7.0,0.0,0.08088788946494789,212
4.0,4.0,0.0,0.08080700157548294,213
13.0,13.0,0.0,0.08072619457390746,214
4.0,4.0,0.0,0.08064546837933356,215
12.0,12.0,0.0,0.08056482291095422,216
10.0,10.0,0.0,0.08048425808804327,217
9.0,9.0,0.0,0.08040377382995523,218
13.0,13.0,0.0,0.08032337005612528,219
13.0,13.0,0.0,0.08024304668606914,220
13.0,13.0,0.0,0.08016280363938308,221
9.0,9.0,0.0,0.0800826408357437,222
12.0,12.0,0.0,0.08000255819490795,223
13.0,13.0,0.0,0.07992255563671305,224
12.0,12.0,0.0,0.07984263308107634,225
4.0,4.0,0.0,0.07976279044799527,226
13.0,13.0,0.0,0.07968302765754727,227
13.0,13.0,0.0,0.07960334462988972,228
9.0,9.0,0.0,0.07952374128525982,229
13.0,13.0,0.0,0.07944421754397457,230
13.0,13.0,0.0,0.07936477332643059,231
7.0,7.0,0.0,0.07928540855310416,232
14.0,14.0,0.0,0.07920612314455105,233
13.0,13.0,0.0,0.0791269170214065,234
9.0,9.0,0.0,0.0790477901043851,235
9.0,9.0,0.0,0.07896874231428072,236
10.0,10.0,0.0,0.07888977357196644,237
4.0,4.0,0.0,0.07881088379839447,238
8.0,8.0,0.0,0.07873207291459608,239
12.0,12.0,0.0,0.07865334084168148,240
4.0,4.0,0.0,0.07857468750083979,241
4.0,4.0,0.0,0.07849611281333894,242
8.0,8.0,0.0,0.0784176167005256,243
4.0,4.0,0.0,0.07833919908382508,244
13.0,13.0,0.0,0.07826085988474125,245
18.0,18.0,1.0,0.07818259902485651,246
12.0,12.0,0.0,0.07810441642583166,247
12.0,12.0,0.0,0.07802631200940582,248
8.0,8.0,0.0,0.07794828569739642,249
12.0,12.0,0.0,0.07787033741169903,250
13.0,13.0,0.0,0.07779246707428733,251
13.0,13.0,0.0,0.07771467460721304,252
13.0,13.0,0.0,0.07763695993260583,253
13.0,13.0,0.0,0.07755932297267322,254
9.0,9.0,0.0,0.07748176364970055,255
13.0,13.0,0.0,0.07740428188605085,256
4.0,4.0,0.0,0.0773268776041648,257
13.0,13.0,0.0,0.07724955072656065,258
4.0,4.0,0.0,0.07717230117583408,259
12.0,12.0,0.0,0.07709512887465825,260
13.0,13.0,0.0,0.07701803374578359,261
7.0,7.0,0.0,0.0769410157120378,262
13.0,13.0,0.0,0.07686407469632577,263
13.0,13.0,0.0,0.07678721062162944,264
8.0,8.0,0.0,0.07671042341100781,265
8.0,8.0,0.0,0.0766337129875968,266
7.0,7.0,0.0,0.07655707927460921,267
9.0,9.0,0.0,0.0764805221953346,268
13.0,13.0,0.0,0.07640404167313927,269
8.0,8.0,0.0,0.07632763763146613,270
9.0,9.0,0.0,0.07625130999383467,271
10.0,10.0,0.0,0.07617505868384084,272
6.0,6.0,0.0,0.07609888362515699,273
12.0,12.0,0.0,0.07602278474153183,274
8.0,8.0,0.0,0.0759467619567903,275
